Year      ,Month,Prepaid Cards on ATMs,Charge Cards on ATMs,Credit Cards on ATMs,Debit Cards on ATMs,"POS Machines (Debit, Credit, Prepaid, Charge Cards)",Total,Fraud Volumes (In Millions)
2017,December,191.2,0.5,846,43666,11447,44704,6021.6288
2017,November,144,0.4,803,38211,7772,39158,5274.5826
2017,October,117.1,0.3,840,37774,7633,38731,5217.0657
2017,September,121.9,0.4,818,37814,7640,38754,5220.1638
2017,August,113.2,0.3,824,38178,8018,39116,5268.9252
2017,July,113,0.3,825,37985,8978,38923,5242.9281
2017,June,110.6,0.1,1195,37651,8586,38957,5247.5079
2017,May,117.5,0.3,1272,38573,8519,39963,5383.0161
2017,April,107.1,0.2,1188,38868,8241,40163,5409.9561
2017,March,118.3,0.3,1214,38968,7971,40301,5428.5447
2017,February,93.7377,0.2,1080,35646,7702,36820,4959.654
2017,January,102.839,0.3,1255,37846,8257,39204,5280.7788
2016,December,106.868,0.7,1373,41773,9813,43253,5826.1791
2016,November,100.107,0.5,1239,36651,7931,37990,5117.253
2016,October,105.541,0.3,1309,37243,8097,38658,5207.2326
2016,September,125.577,0.25,1537,36926,7202,38589,5197.9383
2016,August,98.3876,0.4,1551,35037,8345,36687,4941.7389
2016,July,92.8278,0.4,1443,37507,7979,39043,5259.0921
2016,June,102,0.5,1369,37049,7158,38521,5188.7787
2016,May,104,0.3,1483,37637,7219,39224,5283.4728
2016,April,103,0.2,1387,37332,7142,38822,5229.3234
2016,March,102,0.4,1427,37890,7348,39419,5309.7393
2016,February,104,0.2,1369,36397,6667,37870,5101.089
2016,January,90,0.1,1388,36908,6877,38386,5170.5942
2015,December,74.7,0.1,1526,42404,7799,44005,5927.4735
2015,November,66.7,0.4,1435,33107,6424,34609,4661.8323
2015,October,66.3,0.3,1433,34403,6478,35903,4836.1341
2015,September,39.7,0.2,1420,33794,6149,35254,4748.7138
2015,August,45.8,0.5,1326,34751,6583,36123,4865.7681
2015,July,46.3,0.2,1294,34482,6084,35823,4825.3581
2015,June,33.9,0.6,1170,32804,5460,34009,4581.0123
2015,May,38.7,0.3,1072,33398,5770,34509,4648.3623
2015,April,34.7,0.3,978,31134,5272,32147,4330.2009
2015,March,35.2,0.3,971,33350,5125,34357,4627.8879
2015,February,30.4407,0.13,854,21661,4525,22546,3036.9462
2015,January,33.703,0.42,918,23051,5047,24003,3233.2041
2014,December,33.2231,0.43,1003,29025,6272,30061,4049.2167
2014,November,34.5584,0.32,997,25543,4843,26575,3579.6525
2014,October,27.0347,0.33,1029,23217,4533,24273,3269.5731
2014,September,107.194,0.25,709,22605,4394,23422,3154.9434
2014,August,35.0584,0.65,1014,22363,4597,23413,3153.7311
2014,July,34.5144,0.33,982,21819,4535,22836,3076.0092
2014,June,37.63,0.5,919,22384,4282,23341,3144.0327
2014,May,44.3562,0.33,953,39724,4210,40722,5485.2534
2014,April,39.2097,0.19,899,35783,4192,36721,4946.3187
2014,March,37.0121,0.14,557,35622,7231,36216,4878.2952
2014,February,44.1433,0.18,542,45895,6453,46481,6260.9907
2014,January,46.8825,0.21,615,49985,6641,50647,6822.1509
2013,December,48.1987,0.15,579,43529,7652,44157,5947.9479
2013,November,51.1533,0.21,552,38922,6783,39525,5324.0175
2013,October,57.8188,0.25,595,40146,5901,40799,5495.6253
2013,September,44.6637,0.21,582,41567,5938,42194,5683.5318
2013,August,48.7826,0.26,566,39047,6567,39662,5342.4714
2013,July,48.6714,0.12,555,38815,6813,39419,5309.7393
2013,June,50.9356,0.26,510,36901,8892,37462,5046.1314
2013,May,60.8685,0.39,547,40149,8593,40757,5489.9679
2013,April,51.0128,0.41,417,33383,9374,33852,4559.8644
2013,March,57.5,0.1,363,24539,10075,24960,3362.112
2013,February,48.3,1,485,20457,13345,20991,2827.4877
2013,January,49.5275,0.32,545,18827,13535,19422,2616.1434
2012,December,62.2589,0.11,497,36357,13114,36916,4972.5852
2012,November,56.7166,0.2,504,36806,10118,37367,5033.3349
2012,October,60.8653,0.26,522,36806,10320,37389,5036.2983
2012,September,61.8,0.1,511,33145,10183,33718,4541.8146
2012,August,54.7,0.1,500,33345,10476,33900,4566.33
2012,July,57,0.1,476,33300,10167,33833,4557.3051
2012,June,50.4934,0.14,456,32422,8686,32928,4435.4016
2012,May,49.6977,0.21,485,32773,8039,33308,4486.5876
2012,April,50.6819,0.25,467,26552,7489,27070,3646.329
2012,March,59.2239,0.34,456,26722,7948,27237,3668.8239
2012,February,49.0292,0.47,440,26304,7602,26793,3609.0171
2012,January,51.0318,0.51,489,31864,7230,32404,4364.8188
2011,December,68.082,0.39,400,32759,7831,33227,4475.6769
2011,November,56.9862,0.27,373,32727,6342,33157,4466.2479
2011,October,61.7616,0.3,376,34124,6616,34562,4655.5014
2011,September,58.0313,0.31,358,33475,6780,33891,4565.1177
2011,August,52.3742,0.35,351,34202,5915,34606,4661.4282
2011,July,53.9398,0.3,314,43759,5156,44127,5943.9069
2011,June,54.544,0.42,322,30554,4358,30931,4166.4057
2011,May,59.7379,0.25,344,31781,4294,32185,4335.3195
2011,April,53.7262,0.61,306,30921,4244,31282,4213.6854
2011,March,64.1161,0.6,304,42424,4416,42793,5764.2171
2011,February,57.014,0.47,287,36349,4190,36693,4942.5471
2011,January,53.2675,0.45,329,39202,4381,39585,5332.0995
2010,December,69.369,0.48,333,43291,4675,43694,5885.5818
2010,November,56.5746,0.58,310,36164,3866,36531,4920.7257
2010,October,67.433,0.55,314,26289,3871,26671,3592.5837
2010,September,62.0443,0.66,323,32725,3679,33111,4460.0517
2010,August,59.4266,0.7,318,36305,3984,36683,4941.2001
2010,July,60.6292,0.54,294,33700,3599,34055,4587.2085
2010,June,54.4869,0.49,279,31983,3198,32317,4353.0999
2010,May,70.2245,0.52,292,34353,3302,34716,4676.2452
2010,April,81.9306,0.58,285,35877,3238,36245,4882.2015
2010,March,82.097,0.78,377,28179,3689,28639,3857.6733
2010,February,69.7303,1.69,281,27054,3174,27406,3691.5882
2010,January,66.7313,1.65,341,29221,3340,29630,3991.161
2009,December,86.1194,1.45,346,27413,4290,27847,3750.9909
2009,November,66.7787,1.2,293,22973,3855,23334,3143.0898
2009,October,64.3281,1.28,303,24410,3634,32414,4366.1658
2009,September,62.2747,1.53,319,23382,1220,31351,4222.9797
2009,August,58.067,1.03,311,24358,1343,32411,4365.7617
2009,July,59.4144,1.57,293,24045,1214,31838,4288.5786
